Generation,BestFitness,AverageFitness,WorstFitness,FitnessRange,NetworkComplexity,DiversityIndex,LearningRate,SuccessRate,JumpEfficiency
550,75.39384,19.02597,0,75.39384,135.5,29.26454,-12.93587,1,0.400314
555,74.32081,19.89173,0,74.32081,135,30.26596,-1.073036,1,0.629463
560,71.27525,20.47054,0,71.27525,135.1,33.11666,-3.045563,1,0.3044285
565,49.54488,19.78856,0,49.54488,134.9,21.4307,-21.73037,1,0.4882742
570,89.55442,20.28498,0,89.55442,134.9,34.02332,40.00954,1,0.8601654
575,49.76387,21.18442,0,49.76387,135.2,20.6048,-39.79055,1,0.7160578
580,133.8517,21.5141,0,133.8517,135.8,52.8823,84.08788,1,0.3674631
585,104.5184,21.64891,0,104.5184,136,36.59835,-29.33335,1,0.4641896
590,66.54077,22.6616,0,66.54077,135,28.38984,-37.97762,1,0.3215838
595,56.66066,26.74871,0,56.66066,135,21.10386,-9.880108,1,0.6325278
600,56.03707,23.317,0,56.03707,134.9,19.18313,-0.6235924,1,0.3687404
605,55.99934,21.60884,0,55.99934,135.5,25.35971,-0.03773499,1,0.6172786
610,59.67852,21.7293,0,59.67852,135.6,24.57721,3.679184,1,0.4844803
615,45.50401,22.67408,0,45.50401,134.8,22.55739,-14.17451,1,0.6739038
620,75.63812,20.9732,0,75.63812,135.4,33.20539,30.13412,1,0.4244787
625,49.40379,22.95266,0,49.40379,135.2,18.43685,-26.23433,1,0.4459348
630,110.8726,26.0502,0,110.8726,135.5,41.54885,61.46881,1,0.6501823
635,66.7791,24.08545,0,66.7791,135.7,30.36313,-44.09351,1,0.785206
